source_slug,project_name,previous_lead_entity,updated_lead_entity,previous_funding_sources,updated_funding_sources
dwr,McCormick-Williamson Tract (MWT) Monitoring Project (Phase B),DWR,California Department of Water Resources,,
dwr,Grizzly Slough Floodplain Restoration,DWR,California Department of Water Resources,,
dwr,Lower Elkhorn Basin Levee Setback,DWR,California Department of Water Resources,,
dwr,Kopta Slough Multi-Benefit Project,DWR,California Department of Water Resources,,
dwr,Tisdale Weir Reoperation,DWR,California Department of Water Resources,,
dwr,Agricultural Road Crossing #4 Improvements,DWR,California Department of Water Resources,Wildlife Conservation Board; United States Bureau of Reclamation,Wildlife Conservation Board; United States Bureau of Reclamation
dwr,Prospect Island Tidal Habitat Restoration Project,DWR,California Department of Water Resources,,
dwr,Little Egbert Multi-Benefit Project,DWR,California Department of Water Resources,,
dwr,Tide's End Multibenefit Restoration Project,DWR,California Department of Water Resources,,
dwr,Dutch Slough Tidal Restoration Project (Phase 2),DWR,California Department of Water Resources,,
dwr,Feather River Salmonid Spawning Habitat Improvement - 2024,DWR,California Department of Water Resources,General Fund; Local Assistance,General Fund; Local Assistance
dwr,P68 Feather River Salmon Habitat Improvement Project,DWR,California Department of Water Resources,Prop 68; United States Bureau of Reclamation; DWR,Prop 68; United States Bureau of Reclamation; California Department of Water Resources
ebmud,Mokelumne River - Gravel Maintenance Project - Early Implementation Projects,EBMUD,EBMUD,DWR; EBMUD,California Department of Water Resources; EBMUD
ebmud,Mokelumne River - CE Large Floodplain Restoration Project,EBMUD,EBMUD,DWR; EBMUD,California Department of Water Resources; EBMUD
ebmud,Mokelumne River - In Channel Rearing Habitat Restoration Project,EBMUD,EBMUD,DWR; EBMUD,California Department of Water Resources; EBMUD
ebmud,Mokelumne River - Gravel Maintenance Project – Current and Future Maintenance Projects,EBMUD,EBMUD,DWR; EBMUD,California Department of Water Resources; EBMUD
