source_slug,project_name,previous_funding_sources,updated_funding_sources
dwr,Agricultural Road Crossing #4 Improvements,WCB grant; USBR grant,Wildlife Conservation Board; United States Bureau of Reclamation
dwr,Feather River Salmonid Spawning Habitat Improvement - 2024,General Fund; Local Assistance (AB 179),General Fund; Local Assistance
dwr,P68 Feather River Salmon Habitat Improvement Project,Prop 68; CVPIA; DWR,Prop 68; United States Bureau of Reclamation; DWR
ebmud,Mokelumne River - Gravel Maintenance Project - Early Implementation Projects,DWR FAIR Funding Agreement; EBMUD Capital,DWR; EBMUD
ebmud,Mokelumne River - Floodplain Restoration Projects - Early Implementation Projects,Prop 68; EBMUD Capital,Proposition 68; EBMUD
ebmud,Mokelumne River - CE Large Floodplain Restoration Project,DWR FAIR Funding Agreement; EBMUD Capital,DWR; EBMUD
ebmud,Mokelumne River - In Channel Rearing Habitat Restoration Project,DWR FAIR Funding Agreement; EBMUD Capital,DWR; EBMUD
ebmud,Mokelumne River - Gravel Maintenance Project – Current and Future Maintenance Projects,DWR FAIR Funding Agreement; EBMUD Capital,DWR; EBMUD
sbfca,Oroville Wildlife Area River Restoration Project at Robinson's Riffle,Wildlife Conservation Board Greenhouse Gas Reduction Fund,Greenhouse Gas Reduction Fund
scwa,Nishikawa on Putah Creek,"CNRA Prop 68 PROTECTING CALIFORNIA'S RIVERS, STREAMS AND WATERSHEDS PROGRAM",Proposition 68
scwa,Putah Gravel Augmentation and Scarification,Internal SCWA funding as feasible,Solano County Water Agency
scwa,Putah Creek fish passage at Los Rios Check Dam,CDFW,California Department of Fish and Wildlife
scwa,Putah Creek fish passage at County Rd 106a,Wildlife Conservation Board,Wildlife Conservation Board
sfpuc,Upstream of Old LaGrange Bridge Restoration Project,SFPUC; MID; TID; CDFW,SFPUC; Merced Irrigation District; Turlock Irrigation District; California Department of Fish and Wildlife
sfpuc,Powerhouse Riffles Restoration Project,SFPUC; MID; TID,SFPUC; Merced Irrigation District; Turlock Irrigation District
water-forum,Nimbus Basin,State of California - Prop 68; Water Forum,Proposition 68; Water Forum
water-forum,Upper Sailor Bar,Reclamation; Water Forum,United States Bureau of Reclamation; Water Forum
water-forum,Lower Sailor Bar,State of California - Prop 68; Water Forum,Proposition 68; Water Forum
water-forum,Ancil Hoffman,Reclamation; Water Forum,United States Bureau of Reclamation; Water Forum
water-forum,"Upper River Bend, Phase 1",State of California - Prop 68; Reclamation; Water Forum,Proposition 68; United States Bureau of Reclamation; Water Forum
water-forum,River Bend,Reclamation; Water Forum,United States Bureau of Reclamation; Water Forum
ywa,Hallwood Side Channel and Floodplain Restoration Project,USFWS CVPIA via BOR; Yuba Water Agency; Prop 1 (WCB); Prop 68,United States Bureau of Reclamation; Yuba Water Agency; Proposition 1; Proposition 68
ywa,Lower Long Bar Habitat Enhancement Project,United States Fish and Wildlife Service,United States Fish and Wildlife Service
ywa,Upper Long Bar Habitat Enhancement Project,Yuba Water Agency; Wildlife Conservation Board; California Department of Fish and Wildlife Fisheries Restoration Grant Program,Yuba Water Agency; Wildlife Conservation Board; California Department of Fish and Wildlife
ywa,Upper Rose Bar Habitat Enhancement Project,Wildlife Conservation Board; Yuba Water Agency,Wildlife Conservation Board; Yuba Water Agency
